STATE CLIMATE OFFICE OF NORTH CAROLINA,
1/1/2010 1:09,44
1/1/2010 1:10,43.9
1/1/2010 1:11,43.9
1/1/2010 1:12,43.9
1/1/2010 1:13,43.8
1/1/2010 1:14,44.1
1/1/2010 1:15,43.6
1/1/2010 1:16,43.9
1/1/2010 1:17,43.8
1/1/2010 1:18,43.8
1/1/2010 1:19,43.8
1/1/2010 1:20,43.9
1/1/2010 1:21,43.6
1/1/2010 1:22,43.6
1/1/2010 1:23,44
1/1/2010 1:24,43.6
1/1/2010 1:25,43.9
1/1/2010 1:26,43.8
1/1/2010 1:27,43.8
1/1/2010 1:28,43.9
1/1/2010 1:29,44
1/1/2010 1:30,44
1/1/2010 1:31,43.6
1/1/2010 1:32,43.6
1/1/2010 1:33,43.9
1/1/2010 1:34,43.9
1/1/2010 1:35,43.9
1/1/2010 1:36,43.6
1/1/2010 1:37,43.9
1/1/2010 1:38,43.9
1/1/2010 1:39,43.8
1/1/2010 1:40,43.8
1/1/2010 1:41,43.8
1/1/2010 1:42,43.8
1/1/2010 1:43,43.9
1/1/2010 1:44,44.1
1/1/2010 1:45,43.8
1/1/2010 1:46,43.8
1/1/2010 1:47,44
1/1/2010 1:48,43.8
1/1/2010 1:49,43.8
1/1/2010 1:50,43.8
1/1/2010 1:51,43.9
1/1/2010 1:52,43.6
1/1/2010 1:53,43.8
1/1/2010 1:54,44
1/1/2010 1:55,43.6
1/1/2010 1:56,43.8
1/1/2010 1:57,43.6
1/1/2010 1:58,43.9
1/1/2010 1:59,43.9
1/1/2010 2:00,43.9
1/1/2010 2:00,43.9
1/1/2010 2:01,43.9
1/1/2010 2:02,43.9
1/1/2010 2:03,43.8
1/1/2010 2:04,43.8
1/1/2010 2:05,43.9
1/1/2010 2:06,43.8
1/1/2010 2:07,43.8
1/1/2010 2:08,44
1/1/2010 2:09,43.8
1/1/2010 2:10,43.8
1/1/2010 2:11,43.9
1/1/2010 2:12,43.9
1/1/2010 2:13,43.8
1/1/2010 2:14,43.8
1/1/2010 2:15,43.9
1/1/2010 2:16,43.8
1/1/2010 2:17,43.6
1/1/2010 2:18,44
1/1/2010 2:19,43.8
1/1/2010 2:20,43.6
1/1/2010 2:21,43.6
1/1/2010 2:22,43.5
1/1/2010 2:23,43.8
1/1/2010 2:24,43.5
1/1/2010 2:25,43.5
1/1/2010 2:26,43.8
1/1/2010 2:27,43.6
1/1/2010 2:28,43.8
1/1/2010 2:29,43.8
1/1/2010 2:30,43.8
1/1/2010 2:31,43.6
1/1/2010 2:32,43.6
1/1/2010 2:33,43.6
1/1/2010 2:34,43.6
1/1/2010 2:35,43.9
1/1/2010 2:36,43.6
1/1/2010 2:37,43.6
1/1/2010 2:38,43.6
1/1/2010 2:39,43.6
1/1/2010 2:40,43.8
1/1/2010 2:41,43.5
1/1/2010 2:42,43.9
1/1/2010 2:43,43.8
1/1/2010 2:44,43.9
1/1/2010 2:45,43.8
1/1/2010 2:46,43.9
1/1/2010 2:47,43.6
1/1/2010 2:48,43.5
1/1/2010 2:49,43.6
1/1/2010 2:50,43.4
1/1/2010 2:51,43.8
1/1/2010 2:52,43.8
1/1/2010 2:53,43.8
1/1/2010 2:54,43.6
1/1/2010 2:55,43.5
1/1/2010 2:56,43.6
1/1/2010 2:57,43.8
1/1/2010 2:58,43.8
1/1/2010 2:59,43.6
1/1/2010 3:00,43.6
1/1/2010 3:00,43.6
1/1/2010 3:01,43.8
1/1/2010 3:02,43.8
1/1/2010 3:03,43.8
1/1/2010 3:04,43.5
1/1/2010 3:05,43.5
1/1/2010 3:06,43.6
1/1/2010 3:07,43.8
1/1/2010 3:08,43.5
1/1/2010 3:09,43.6
1/1/2010 3:10,43.9
1/1/2010 3:11,43.8
1/1/2010 3:12,43.8
1/1/2010 3:13,43.8
1/1/2010 3:14,43.5
1/1/2010 3:15,43.4
1/1/2010 3:16,43.6
1/1/2010 3:17,43.8
1/1/2010 3:18,43.6
1/1/2010 3:19,43.6
1/1/2010 3:20,43.8
1/1/2010 3:21,43.5
1/1/2010 3:22,43.5
1/1/2010 3:23,43.5
1/1/2010 3:24,43.6
1/1/2010 3:25,43.6
1/1/2010 3:26,43.6
1/1/2010 3:27,43.6
1/1/2010 3:28,43.4
1/1/2010 3:29,43.5
1/1/2010 3:30,43.6
1/1/2010 3:31,43.4
1/1/2010 3:32,43.5
1/1/2010 3:33,43.8
1/1/2010 3:34,43.4
1/1/2010 3:35,43.7
1/1/2010 3:36,43.7
1/1/2010 3:37,43.5
1/1/2010 3:38,43.4
1/1/2010 3:39,43.7
1/1/2010 3:40,43.5
1/1/2010 3:41,43.5
1/1/2010 3:42,43.7
1/1/2010 3:43,43.8
1/1/2010 3:44,43.8
1/1/2010 3:45,43.8
1/1/2010 3:46,43.4
1/1/2010 3:47,43.8
1/1/2010 3:48,43.6
1/1/2010 3:49,43.5
1/1/2010 3:50,43.8
1/1/2010 3:51,43.5
1/1/2010 3:52,43.6
1/1/2010 3:53,43.8
1/1/2010 3:54,43.6
1/1/2010 3:55,43.8
1/1/2010 3:56,43.8
1/1/2010 3:57,43.6
1/1/2010 3:58,43.5
1/1/2010 3:59,43.6
1/1/2010 4:00,43.7
1/1/2010 4:00,43.7
1/1/2010 4:01,43.7
1/1/2010 4:02,43.7
1/1/2010 4:03,43.5
1/1/2010 4:04,43.7
1/1/2010 4:05,43.5
1/1/2010 4:06,43.5
1/1/2010 4:07,43.5
1/1/2010 4:08,43.4
1/1/2010 4:09,43.5
1/1/2010 4:10,43.6
1/1/2010 4:11,43.6
1/1/2010 4:12,43.5
1/1/2010 4:13,43.5
1/1/2010 4:14,43.8
1/1/2010 4:15,43.6
1/1/2010 4:16,43.6
1/1/2010 4:17,43.5
1/1/2010 4:18,43.6
1/1/2010 4:19,43.6
1/1/2010 4:20,43.8
1/1/2010 4:21,43.6
1/1/2010 4:22,43.8
1/1/2010 4:23,43.5
1/1/2010 4:24,43.6
1/1/2010 4:25,43.4
1/1/2010 4:26,43.4
1/1/2010 4:27,43.8
1/1/2010 4:28,43.4
1/1/2010 4:29,43.5
1/1/2010 4:30,43.6
1/1/2010 4:31,43.6
1/1/2010 4:32,43.4
1/1/2010 4:33,43.6
1/1/2010 4:34,43.3
1/1/2010 4:35,43.4
1/1/2010 4:36,43.5
1/1/2010 4:37,43.5
1/1/2010 4:38,43.5
1/1/2010 4:39,43.5
1/1/2010 4:40,43.4
1/1/2010 4:41,43.5
1/1/2010 4:42,43.4
1/1/2010 4:43,43.6
1/1/2010 4:44,43.5
1/1/2010 4:45,43.4
1/1/2010 4:46,43.4
1/1/2010 4:47,43.5
1/1/2010 4:48,43.3
1/1/2010 4:49,43.4
1/1/2010 4:50,43.5
1/1/2010 4:51,43.4
1/1/2010 4:52,43.3
1/1/2010 4:53,43.5
1/1/2010 4:54,43.3
1/1/2010 4:55,43.3
1/1/2010 4:56,43.5
1/1/2010 4:57,43.3
1/1/2010 4:58,43.4
1/1/2010 4:59,43.5
1/1/2010 5:00,43.4
1/1/2010 5:00,43.4
1/1/2010 5:01,43.5
1/1/2010 5:02,43.5
1/1/2010 5:03,43.5
1/1/2010 5:04,43.5
1/1/2010 5:05,43.4
1/1/2010 5:06,43.3
1/1/2010 5:07,43.4
1/1/2010 5:08,43.4
1/1/2010 5:09,43.6
1/1/2010 5:10,43.5
1/1/2010 5:11,43.3
1/1/2010 5:12,43.3
1/1/2010 5:13,43.5
1/1/2010 5:14,43.3
1/1/2010 5:15,43.2
1/1/2010 5:16,43.4
1/1/2010 5:17,43.3
1/1/2010 5:18,43.4
1/1/2010 5:19,43.4
1/1/2010 5:20,43.3
1/1/2010 5:21,43.5
1/1/2010 5:22,43.4
1/1/2010 5:23,43.5
1/1/2010 5:24,43.5
1/1/2010 5:25,43.3
1/1/2010 5:26,43.4
1/1/2010 5:27,43.4
1/1/2010 5:28,43.5
1/1/2010 5:29,43.4
1/1/2010 5:30,43.5
1/1/2010 5:31,43.4
1/1/2010 5:32,43.3
1/1/2010 5:33,43.3
1/1/2010 5:34,43.3
1/1/2010 5:35,43.3
1/1/2010 5:36,43.4
1/1/2010 5:37,43.3
1/1/2010 5:38,43.4
1/1/2010 5:39,43.7
1/1/2010 5:40,43.4
1/1/2010 5:41,43.3
1/1/2010 5:42,43.2
1/1/2010 5:43,43.4
1/1/2010 5:44,43.2
1/1/2010 5:45,43.2
1/1/2010 5:46,43.3
1/1/2010 5:47,43.5
1/1/2010 5:48,43.5
1/1/2010 5:49,43.3
1/1/2010 5:50,43.4
1/1/2010 5:51,43.3
1/1/2010 5:52,43.3
1/1/2010 5:53,43.3
1/1/2010 5:54,43.2
1/1/2010 5:55,43.2
1/1/2010 5:56,43.3
1/1/2010 5:57,43.1
1/1/2010 5:58,43.1
1/1/2010 5:59,43.4
1/1/2010 6:00,43.3
1/1/2010 6:00,43.3
1/1/2010 6:01,43.3
1/1/2010 6:02,43.1
1/1/2010 6:03,43.2
1/1/2010 6:04,43.3
1/1/2010 6:05,43.2
1/1/2010 6:06,43.1
1/1/2010 6:07,43.2
1/1/2010 6:08,43.2
1/1/2010 6:09,43.4
1/1/2010 6:10,43.2
1/1/2010 6:11,43.3
1/1/2010 6:12,43.2
1/1/2010 6:13,43.3
1/1/2010 6:14,43.2
1/1/2010 6:15,43.1
1/1/2010 6:16,42.9
1/1/2010 6:17,43.2
1/1/2010 6:18,43.1
1/1/2010 6:19,43.1
1/1/2010 6:20,42.8
1/1/2010 6:21,43.1
1/1/2010 6:22,43.2
1/1/2010 6:23,42.9
1/1/2010 6:24,43.1
1/1/2010 6:25,43.2
1/1/2010 6:26,42.9
1/1/2010 6:27,42.8
1/1/2010 6:28,42.9
1/1/2010 6:29,42.9
1/1/2010 6:30,42.9
1/1/2010 6:31,42.8
1/1/2010 6:32,42.8
1/1/2010 6:33,42.9
1/1/2010 6:34,43.2
1/1/2010 6:35,42.8
1/1/2010 6:36,42.9
1/1/2010 6:37,43.1
1/1/2010 6:38,42.9
1/1/2010 6:39,43.1
1/1/2010 6:40,43.1
1/1/2010 6:41,43.1
1/1/2010 6:42,42.9
1/1/2010 6:43,43.2
1/1/2010 6:44,43.3
1/1/2010 6:45,43.1
1/1/2010 6:46,43.2
1/1/2010 6:47,42.9
1/1/2010 6:48,42.9
1/1/2010 6:49,42.9
1/1/2010 6:50,43.1
1/1/2010 6:51,43.2
1/1/2010 6:52,43.1
1/1/2010 6:53,43.2
1/1/2010 6:54,42.8
1/1/2010 6:55,43.1
1/1/2010 6:56,42.8
1/1/2010 6:57,42.9
1/1/2010 6:58,43.1
1/1/2010 6:59,43.1
1/1/2010 7:00,43.1
1/1/2010 7:00,43.1
1/1/2010 7:01,43.1
1/1/2010 7:02,43.1
1/1/2010 7:03,42.8
1/1/2010 7:04,43.2
1/1/2010 7:05,42.9
1/1/2010 7:06,43.1
1/1/2010 7:07,43.1
1/1/2010 7:08,43.1
1/1/2010 7:09,42.7
1/1/2010 7:10,42.9
1/1/2010 7:11,43.1
1/1/2010 7:12,42.8
1/1/2010 7:13,42.9
1/1/2010 7:14,42.7
1/1/2010 7:15,43.1
1/1/2010 7:16,42.8
1/1/2010 7:17,42.7
1/1/2010 7:18,42.8
1/1/2010 7:19,43.1
1/1/2010 7:20,42.8
1/1/2010 7:21,42.7
1/1/2010 7:22,42.8
1/1/2010 7:23,42.8
1/1/2010 7:24,42.8
1/1/2010 7:25,42.7
1/1/2010 7:26,42.7
1/1/2010 7:27,42.8
1/1/2010 7:28,42.6
1/1/2010 7:29,42.8
1/1/2010 7:30,42.7
1/1/2010 7:31,42.7
1/1/2010 7:32,42.6
1/1/2010 7:33,42.8
1/1/2010 7:34,42.6
1/1/2010 7:35,42.6
1/1/2010 7:36,42.3
1/1/2010 7:37,42.6
1/1/2010 7:38,42.7
1/1/2010 7:39,42.3
1/1/2010 7:40,42.6
1/1/2010 7:41,42.2
1/1/2010 7:42,42.3
1/1/2010 7:43,42.5
1/1/2010 7:44,42.5
1/1/2010 7:45,42.5
1/1/2010 7:46,42.5
1/1/2010 7:47,42.5
1/1/2010 7:48,42.5
1/1/2010 7:49,42.3
1/1/2010 7:50,42.3
1/1/2010 7:51,42.5
1/1/2010 7:52,42.7
1/1/2010 7:53,42.5
1/1/2010 7:54,42.3
1/1/2010 7:55,42.3
1/1/2010 7:56,42.5
1/1/2010 7:57,42.6
1/1/2010 7:58,42.6
1/1/2010 7:59,42.5
1/1/2010 8:00,42.6
1/1/2010 8:00,42.6
1/1/2010 8:01,42.5
1/1/2010 8:02,42.5
1/1/2010 8:03,42.6
1/1/2010 8:04,42.5
1/1/2010 8:05,42.5
1/1/2010 8:06,42.5
1/1/2010 8:07,42.6
1/1/2010 8:08,42.5
1/1/2010 8:09,42.3
1/1/2010 8:10,42.5
1/1/2010 8:11,42.3
1/1/2010 8:12,42.5
1/1/2010 8:13,42.5
1/1/2010 8:14,42.5
1/1/2010 8:15,42.6
1/1/2010 8:16,42.5
1/1/2010 8:17,42.2
1/1/2010 8:18,42.5
1/1/2010 8:19,42.6
1/1/2010 8:20,42.7
1/1/2010 8:21,42.5
1/1/2010 8:22,42.6
1/1/2010 8:23,42.5
1/1/2010 8:24,42.6
1/1/2010 8:25,42.6
1/1/2010 8:26,42.6
1/1/2010 8:27,42.5
1/1/2010 8:28,42.5
1/1/2010 8:29,42.8
1/1/2010 8:30,42.3
1/1/2010 8:31,42.7
1/1/2010 8:32,42.5
1/1/2010 8:33,42.6
1/1/2010 8:34,42.7
1/1/2010 8:35,42.7
1/1/2010 8:36,42.7
1/1/2010 8:37,42.5
1/1/2010 8:38,42.8
1/1/2010 8:39,42.6
1/1/2010 8:40,42.7
1/1/2010 8:41,42.8
1/1/2010 8:42,42.7
1/1/2010 8:43,42.6
1/1/2010 8:44,42.6
1/1/2010 8:45,42.6
1/1/2010 8:46,42.6
1/1/2010 8:47,42.7
1/1/2010 8:48,42.7
1/1/2010 8:49,42.7
1/1/2010 8:50,42.6
1/1/2010 8:51,42.7
1/1/2010 8:52,42.7
1/1/2010 8:53,42.6
1/1/2010 8:54,42.6
1/1/2010 8:55,42.8
1/1/2010 8:56,42.7
1/1/2010 8:57,42.5
1/1/2010 8:58,42.7
1/1/2010 8:59,42.7
1/1/2010 9:00,42.7
1/1/2010 9:00,42.7
1/1/2010 9:01,42.7
1/1/2010 9:02,42.9
1/1/2010 9:03,42.6
1/1/2010 9:04,42.8
1/1/2010 9:05,42.9
1/1/2010 9:06,42.7
1/1/2010 9:07,43.2
1/1/2010 9:08,42.8
1/1/2010 9:09,42.8
1/1/2010 9:10,42.8
1/1/2010 9:11,42.9
1/1/2010 9:12,42.9
1/1/2010 9:13,42.9
1/1/2010 9:14,43.1
1/1/2010 9:15,43.1
1/1/2010 9:16,42.9
1/1/2010 9:17,42.9
1/1/2010 9:18,43.2
1/1/2010 9:19,43.2
1/1/2010 9:20,43.4
1/1/2010 9:21,43.4
1/1/2010 9:22,43.3
1/1/2010 9:23,43.3
1/1/2010 9:24,43.5
1/1/2010 9:25,43.4
1/1/2010 9:26,43.7
1/1/2010 9:27,43.7
1/1/2010 9:28,43.4
1/1/2010 9:29,43.3
1/1/2010 9:30,43.5
1/1/2010 9:31,43.5
1/1/2010 9:32,43.4
1/1/2010 9:33,43.5
1/1/2010 9:34,43.5
1/1/2010 9:35,43.7
1/1/2010 9:36,43.7
1/1/2010 9:37,43.5
1/1/2010 9:38,43.4
1/1/2010 9:39,43.8
1/1/2010 9:40,43.8
1/1/2010 9:41,43.5
1/1/2010 9:42,43.7
1/1/2010 9:43,43.4
1/1/2010 9:44,43.8
1/1/2010 9:45,43.7
1/1/2010 9:46,43.7
1/1/2010 9:47,43.5
1/1/2010 9:48,43.7
1/1/2010 9:49,43.8
1/1/2010 9:50,43.5
1/1/2010 9:51,43.8
1/1/2010 9:52,43.8
1/1/2010 9:53,43.8
1/1/2010 9:54,43.8
1/1/2010 9:55,44
1/1/2010 9:56,43.9
1/1/2010 9:57,43.8
1/1/2010 9:58,43.8
1/1/2010 9:59,43.9
1/1/2010 10:00,44
1/1/2010 10:00,44
1/1/2010 10:01,43.6
1/1/2010 10:02,43.6
1/1/2010 10:03,43.8
1/1/2010 10:04,43.8
1/1/2010 10:05,43.8
1/1/2010 10:06,44
1/1/2010 10:07,43.8
1/1/2010 10:08,43.8
1/1/2010 10:09,43.8
1/1/2010 10:10,43.9
1/1/2010 10:11,43.8
1/1/2010 10:12,43.8
1/1/2010 10:13,44
1/1/2010 10:14,44
1/1/2010 10:15,43.8
1/1/2010 10:16,43.8
1/1/2010 10:17,44
1/1/2010 10:18,44
1/1/2010 10:19,44.1
1/1/2010 10:20,44
1/1/2010 10:21,44.1
1/1/2010 10:22,44.2
1/1/2010 10:23,44
1/1/2010 10:24,44.1
1/1/2010 10:25,44.1
1/1/2010 10:26,44.2
1/1/2010 10:27,44.4
1/1/2010 10:28,44.2
1/1/2010 10:29,44.2
1/1/2010 10:30,44.4
1/1/2010 10:31,44.6
1/1/2010 10:32,44.4
1/1/2010 10:33,44.7
1/1/2010 10:34,44.6
1/1/2010 10:35,45
1/1/2010 10:36,45
1/1/2010 10:37,45
1/1/2010 10:38,44.7
1/1/2010 10:39,45
1/1/2010 10:40,45
1/1/2010 10:41,45.2
1/1/2010 10:42,45
1/1/2010 10:43,45.1
1/1/2010 10:44,45.2
1/1/2010 10:45,45.2
1/1/2010 10:46,45.3
1/1/2010 10:47,45
1/1/2010 10:48,45.2
1/1/2010 10:49,45.4
1/1/2010 10:50,45.4
1/1/2010 10:51,45.3
1/1/2010 10:52,45.3
1/1/2010 10:53,45.7
1/1/2010 10:54,45.4
1/1/2010 10:55,45.8
1/1/2010 10:56,45.7
1/1/2010 10:57,45.8
1/1/2010 10:58,45.7
1/1/2010 10:59,45.9
1/1/2010 11:00,45.9
1/1/2010 11:00,45.9
1/1/2010 11:01,46
1/1/2010 11:02,46
1/1/2010 11:03,45.9
1/1/2010 11:04,46.3
1/1/2010 11:05,46.3
1/1/2010 11:06,46.3
1/1/2010 11:07,46.3
1/1/2010 11:08,46.8
1/1/2010 11:09,46.6
1/1/2010 11:10,46.5
1/1/2010 11:11,46.5
1/1/2010 11:12,46.8
1/1/2010 11:13,46.6
1/1/2010 11:14,46.8
1/1/2010 11:15,46.8
1/1/2010 11:16,46.8
1/1/2010 11:17,46.9
1/1/2010 11:18,47
1/1/2010 11:19,47
1/1/2010 11:20,47
1/1/2010 11:21,47
1/1/2010 11:22,47.2
1/1/2010 11:23,47.1
1/1/2010 11:24,47.4
1/1/2010 11:25,47.2
1/1/2010 11:26,47.4
1/1/2010 11:27,47.1
1/1/2010 11:28,47.4
1/1/2010 11:29,47.2
1/1/2010 11:30,47.2
1/1/2010 11:31,47.4
1/1/2010 11:32,47.2
1/1/2010 11:33,47.7
1/1/2010 11:34,47.7
1/1/2010 11:35,47.8
1/1/2010 11:36,47.6
1/1/2010 11:37,47.6
1/1/2010 11:38,47.9
1/1/2010 11:39,47.6
1/1/2010 11:40,47.6
1/1/2010 11:41,47.5
1/1/2010 11:42,47.4
1/1/2010 11:43,47.2
1/1/2010 11:44,47.2
1/1/2010 11:45,47.2
1/1/2010 11:46,47.2
1/1/2010 11:47,47.2
1/1/2010 11:48,47.2
1/1/2010 11:49,47.1
1/1/2010 11:50,47
1/1/2010 11:51,47.1
1/1/2010 11:52,47.1
1/1/2010 11:53,47.1
1/1/2010 11:54,46.9
1/1/2010 11:55,47.1
1/1/2010 11:56,47.1
1/1/2010 11:57,47
1/1/2010 11:58,47
1/1/2010 11:59,47
1/1/2010 12:00,46.7
1/1/2010 12:00,46.7
1/1/2010 12:01,47
1/1/2010 12:02,47
1/1/2010 12:03,47.1
1/1/2010 12:04,47
1/1/2010 12:05,47.1
1/1/2010 12:06,47.1
1/1/2010 12:07,47
1/1/2010 12:08,47.1
1/1/2010 12:09,47
1/1/2010 12:10,47
1/1/2010 12:11,46.9
1/1/2010 12:12,47.1
1/1/2010 12:13,46.9
1/1/2010 12:14,46.7
1/1/2010 12:15,46.7
1/1/2010 12:16,46.9
1/1/2010 12:17,46.9
1/1/2010 12:18,46.9
1/1/2010 12:19,46.7
1/1/2010 12:20,46.4
1/1/2010 12:21,46.4
1/1/2010 12:22,46.5
1/1/2010 12:23,46.3
1/1/2010 12:24,46.3
1/1/2010 12:25,46.4
1/1/2010 12:26,46.5
1/1/2010 12:27,46.5
1/1/2010 12:28,46.4
1/1/2010 12:29,46.3
1/1/2010 12:30,46.3
1/1/2010 12:31,46.1
1/1/2010 12:32,46.5
1/1/2010 12:33,46
1/1/2010 12:34,46.4
1/1/2010 12:35,46.3
1/1/2010 12:36,46
1/1/2010 12:37,46.3
1/1/2010 12:38,46.3
1/1/2010 12:39,46.3
1/1/2010 12:40,46.3
1/1/2010 12:41,46.4
1/1/2010 12:42,46.3
1/1/2010 12:43,46.3
1/1/2010 12:44,46.4
1/1/2010 12:45,46.1
1/1/2010 12:46,46.4
1/1/2010 12:47,46.3
1/1/2010 12:48,46.1
1/1/2010 12:49,46.1
1/1/2010 12:50,46.4
1/1/2010 12:51,46.1
1/1/2010 12:52,46.5
1/1/2010 12:53,46.3
1/1/2010 12:54,46.5
1/1/2010 12:55,46.4
1/1/2010 12:56,46.3
1/1/2010 12:57,46.3
1/1/2010 12:58,46.3
1/1/2010 12:59,46.1
1/1/2010 13:00,46.4
1/1/2010 13:00,46.4
1/1/2010 13:01,46.5
1/1/2010 13:02,46.4
1/1/2010 13:03,46.4
1/1/2010 13:04,46.5
1/1/2010 13:05,46.3
1/1/2010 13:06,46.4
1/1/2010 13:07,46.5
1/1/2010 13:08,46.3
1/1/2010 13:09,46.3
1/1/2010 13:10,46.5
1/1/2010 13:11,46.3
1/1/2010 13:12,46.3
1/1/2010 13:13,46.3
1/1/2010 13:14,46.1
1/1/2010 13:15,46.1
1/1/2010 13:16,46.3
1/1/2010 13:17,46
1/1/2010 13:18,46.3
1/1/2010 13:19,46.1
1/1/2010 13:20,46
1/1/2010 13:21,46.3
1/1/2010 13:22,46.1
1/1/2010 13:23,46.1
1/1/2010 13:24,46.3
1/1/2010 13:25,46.4
1/1/2010 13:26,46.1
1/1/2010 13:27,46.1
1/1/2010 13:28,46.1
1/1/2010 13:29,46.4
1/1/2010 13:30,46.4
1/1/2010 13:31,46.1
1/1/2010 13:32,46.3
1/1/2010 13:33,46.4
1/1/2010 13:34,46.1
1/1/2010 13:35,46.1
1/1/2010 13:36,46.3
1/1/2010 13:37,46.1
1/1/2010 13:38,46.4
1/1/2010 13:39,46.1
1/1/2010 13:40,46.5
1/1/2010 13:41,46.5
1/1/2010 13:42,46.7
1/1/2010 13:43,46.4
1/1/2010 13:44,46.4
1/1/2010 13:45,46.5
1/1/2010 13:46,46.6
1/1/2010 13:47,46.4
1/1/2010 13:48,46.5
1/1/2010 13:49,46.7
1/1/2010 13:50,46.7
1/1/2010 13:51,46.5
1/1/2010 13:52,46.7
1/1/2010 13:53,46.6
1/1/2010 13:54,46.4
1/1/2010 13:55,46.6
1/1/2010 13:56,46.4
1/1/2010 13:57,46.4
1/1/2010 13:58,46.4
1/1/2010 13:59,46.6
1/1/2010 14:00,46.5
1/1/2010 14:00,46.5
1/1/2010 14:01,46.9
1/1/2010 14:02,46.6
1/1/2010 14:03,46.6
1/1/2010 14:04,46.6
1/1/2010 14:05,46.9
1/1/2010 14:06,46.7
1/1/2010 14:07,46.6
1/1/2010 14:08,46.4
1/1/2010 14:09,46.5
1/1/2010 14:10,46.6
1/1/2010 14:11,46.7
1/1/2010 14:12,46.5
1/1/2010 14:13,46.4
1/1/2010 14:14,46.4
1/1/2010 14:15,46.4
1/1/2010 14:16,46.4
1/1/2010 14:17,46.4
1/1/2010 14:18,46.4
1/1/2010 14:19,46.6
1/1/2010 14:20,46.4
1/1/2010 14:21,46.5
1/1/2010 14:22,46.4
1/1/2010 14:23,46.4
1/1/2010 14:24,46.5
1/1/2010 14:25,46.4
1/1/2010 14:26,46.6
1/1/2010 14:27,46.7
1/1/2010 14:28,46.5
1/1/2010 14:29,46.7
1/1/2010 14:30,46.6
1/1/2010 14:31,46.6
1/1/2010 14:32,46.5
1/1/2010 14:33,46.5
1/1/2010 14:34,46.5
1/1/2010 14:35,46.9
1/1/2010 14:36,46.7
1/1/2010 14:37,46.4
1/1/2010 14:38,47
1/1/2010 14:39,46.9
1/1/2010 14:40,46.9
1/1/2010 14:41,47.1
1/1/2010 14:42,47
1/1/2010 14:43,47.4
1/1/2010 14:44,47.2
1/1/2010 14:45,47.2
1/1/2010 14:46,47.1
1/1/2010 14:47,47.4
1/1/2010 14:48,47.5
1/1/2010 14:49,47.4
1/1/2010 14:50,47.1
1/1/2010 14:51,47.4
1/1/2010 14:52,47.1
1/1/2010 14:53,47
1/1/2010 14:54,47.1
1/1/2010 14:55,46.9
1/1/2010 14:56,47
1/1/2010 14:57,46.9
1/1/2010 14:58,46.9
1/1/2010 14:59,47
1/1/2010 15:00,46.7
1/1/2010 15:00,46.7
1/1/2010 15:01,46.7
1/1/2010 15:02,46.7
1/1/2010 15:03,46.9
1/1/2010 15:04,46.9
1/1/2010 15:05,46.6
1/1/2010 15:06,46.7
1/1/2010 15:07,46.6
1/1/2010 15:08,46.5
1/1/2010 15:09,46.6
1/1/2010 15:10,46.6
